Country_Region,Confirmed,Deaths,Recovered,Active
Italy,3474,472,2812,190
Brazil,21376,556,14806,6014
Russia,2930,21,2254,655
Mexico,4382,279,3731,372
Japan,2831,36,917,1878
Japan,32,0,16,16
Brazil,65916,1654,58825,5437
Canada,11430,208,10097,1125
Russia,9809,85,7952,1772
Russia,1672,7,1329,336
Brazil,37964,599,26002,11363
Brazil,105857,3345,88937,13575
Colombia,2565,104,2365,96
Peru,6831,125,0,6706
Russia,2909,47,2293,569
Peru,13453,875,0,12578
Spain,16618,1438,10671,4509
India,1222,19,425,778
India,206960,1842,120464,84654
United Kingdom,3,0,3,0
China,991,6,985,0
Colombia,46834,788,18389,27657
Chile,15711,372,14188,1151
Japan,35,1,29,5
Peru,1206,42,0,1164
Spain,18870,937,3772,14161
Colombia,331,7,163,161
Chile,4344,82,3980,282
Peru,18190,869,0,17321
Chile,4911,74,4152,685
Russia,9165,207,8453,505
Netherlands,396,3,114,279
India,2049,3,1326,720
India,55496,132,38809,16555
Russia,4831,51,3913,867
Spain,2635,334,1063,1238
Chile,3413,19,2571,823
Colombia,56801,2649,43527,10625
Australia,113,3,110,0
Peru,4603,81,0,4522
Chile,86,1,74,11
Pakistan,2124,57,1854,213
Germany,37752,1858,34889,1005
Brazil,187892,3843,169322,14727
Mexico,14222,2735,10733,754
Mexico,5143,208,3755,1180
Spain,3051,224,1533,1294
Pakistan,11821,137,10267,1417
Russia,6990,24,5385,1581
Italy,475,28,373,74
Germany,51710,2626,47531,1553
China,935,9,920,6
Russia,6269,50,5592,627
Germany,9639,224,8888,527
United Kingdom,157,9,144,4
India,71304,369,44482,26453
Chile,12498,132,10893,1473
Sweden,514,15,0,499
Colombia,19901,616,15346,3939
Netherlands,13,0,7,6
Colombia,1445,33,607,805
Germany,3638,174,3400,64
Germany,1803,56,1684,63
Canada,3934,195,3353,386
United Kingdom,9,1,7,1
Russia,7565,35,6217,1313
Russia,4316,42,3585,689
Spain,14908,1437,9970,3501
Peru,7974,239,0,7735
Italy,1283,97,1089,97
Colombia,1190,17,411,762
Peru,22594,1080,0,21514
Italy,5050,438,4240,372
Mexico,4889,583,3968,338
Spain,2798,162,1537,1099
Spain,2653,217,2287,149
Colombia,126488,3481,59566,63441
Colombia,2042,50,492,1500
Colombia,427,6,172,249
Spain,19109,3038,6392,9679
Spain,21130,2800,8716,9614
Spain,85970,5704,26203,54063
Colombia,2491,86,1174,1231
United Kingdom,203,1,202,0
Brazil,185409,7921,156854,20634
Colombia,4204,83,1942,2179
Spain,166,4,163,
India,1374,23,820,531
United Kingdom,597,47,533,17
Russia,2132,33,1408,691
Russia,11912,95,7467,4350
Ukraine,975,37,760,178
Ukraine,965,18,564,383
Ukraine,6477,222,5077,1178
India,11408,87,8319,3002
